HDR,ROLLING SYSTEM DEMAND
VD,20220308000000,27315
VD,20220308000500,27694
VD,20220308001000,27723
VD,20220308001500,27775
VD,20220308002000,27747
VD,20220308002500,27585
VD,20220308003000,27660
VD,20220308003500,27964
VD,20220308004000,28113
VD,20220308004500,28098
VD,20220308005000,28098
VD,20220308005500,28226
VD,20220308010000,28210
VD,20220308010500,28086
VD,20220308011000,28088
VD,20220308011500,27999
VD,20220308012000,27931
VD,20220308012500,27880
VD,20220308013000,27757
VD,20220308013500,27657
VD,20220308014000,27554
VD,20220308014500,27554
VD,20220308015000,27513
VD,20220308015500,27535
VD,20220308020000,27561
VD,20220308020500,27714
VD,20220308021000,27759
VD,20220308021500,27613
VD,20220308022000,27557
VD,20220308022500,27470
VD,20220308023000,27264
VD,20220308023500,27249
VD,20220308024000,27312
VD,20220308024500,27302
VD,20220308025000,27245
VD,20220308025500,27169
VD,20220308030000,27120
VD,20220308030500,27048
VD,20220308031000,26939
VD,20220308031500,26831
VD,20220308032000,26792
VD,20220308032500,26798
VD,20220308033000,26718
VD,20220308033500,26756
VD,20220308034000,26705
VD,20220308034500,26672
VD,20220308035000,26648
VD,20220308035500,26573
VD,20220308040000,26424
VD,20220308040500,26540
VD,20220308041000,26645
VD,20220308041500,26858
VD,20220308042000,26878
VD,20220308042500,26848
VD,20220308043000,26900
VD,20220308043500,26967
VD,20220308044000,27013
VD,20220308044500,26949
VD,20220308045000,26989
VD,20220308045500,27069
VD,20220308050000,26969
VD,20220308050500,26863
VD,20220308051000,26962
VD,20220308051500,26886
VD,20220308052000,26809
VD,20220308052500,26842
VD,20220308053000,26916
VD,20220308053500,27165
VD,20220308054000,27375
VD,20220308054500,27510
VD,20220308055000,27663
VD,20220308055500,27997
VD,20220308060000,28251
VD,20220308060500,28767
VD,20220308061000,29295
VD,20220308061500,29758
VD,20220308062000,30024
VD,20220308062500,30307
VD,20220308063000,30470
VD,20220308063500,30731
VD,20220308064000,31335
VD,20220308064500,31785
VD,20220308065000,32148
VD,20220308065500,32584
VD,20220308070000,32949
VD,20220308070500,33381
VD,20220308071000,33794
VD,20220308071500,34205
VD,20220308072000,34444
VD,20220308072500,34629
VD,20220308073000,34749
VD,20220308073500,34803
VD,20220308074000,34934
VD,20220308074500,34979
VD,20220308075000,35035
